"paper_title","author_name","is_first_author"
"A Grain of: A Multimodal Representation of the City’s Ecology Through Material and Sound","Marcel Zaes Sagesser",False
"A Grain of: A Multimodal Representation of the City’s Ecology Through Material and Sound","Enza Migliore",True
"A hefty dose of lemons: the importance of rituals for audiences and performers at the online Edinburgh Festival Fringe 2020","Benedetta Piccio",True
"A hefty dose of lemons: the importance of rituals for audiences and performers at the online Edinburgh Festival Fringe 2020","Melissa Terras",False
"A hefty dose of lemons: the importance of rituals for audiences and performers at the online Edinburgh Festival Fringe 2020","Ingi Helgason",False
"A hefty dose of lemons: the importance of rituals for audiences and performers at the online Edinburgh Festival Fringe 2020","Chris Elsden",False
"A Human-Agents Music Performance System in an Extended Reality Environment","Stefano Fasciani",False
"A Human-Agents Music Performance System in an Extended Reality Environment","Pedro Lucas",True
"A hybrid listening to atmospheric processes","Juan C. Duarte Regino",True
"A Joint Entity-Relation Detection and Generalization Method Based on Syntax and Semantics for Chinese Intangible Cultural Heritage Texts","Zibo Zhao",False
"A Joint Entity-Relation Detection and Generalization Method Based on Syntax and Semantics for Chinese Intangible Cultural Heritage Texts","Yuyao Tan",True
"A Joint Entity-Relation Detection and Generalization Method Based on Syntax and Semantics for Chinese Intangible Cultural Heritage Texts","Hao Wang",False
"A Joint Entity-Relation Detection and Generalization Method Based on Syntax and Semantics for Chinese Intangible Cultural Heritage Texts","Tao Fan",False
"A Landmark-free Approach for Surface Asymmetry Detection and Profile Drawings from Bilaterally Symmetrical Geometry","Shengling Geng",False
"A Landmark-free Approach for Surface Asymmetry Detection and Profile Drawings from Bilaterally Symmetrical Geometry","Wuyang Shui",True
"A Landmark-free Approach for Surface Asymmetry Detection and Profile Drawings from Bilaterally Symmetrical Geometry","Pianpian Wei",False
"A Landmark-free Approach for Surface Asymmetry Detection and Profile Drawings from Bilaterally Symmetrical Geometry","Xia Zheng",False
"A Laptop Ensemble Performance System using Recurrent Neural Networks","Charles Patrick Martin",False
"A Laptop Ensemble Performance System using Recurrent Neural Networks","Rohan Proctor",True
"A Latin America Network for Art and Cybernetics: The Centre for Art and Communication (CAyC)","Jose-Carlos Mariategui",True
"A Lesson with Francis Bacon Forced Me to See Outside the Software Box","Nelson J. Diaz",True
"A Little Better: Emotions in the age of cryptocurrency","Rodrigo Azaola",True
"A Low-Cost Method and Surveying of the Historical Structures from Digital Resources","Sandeep Kumar Roy",True
"A Low-Cost Method and Surveying of the Historical Structures from Digital Resources","Mriganka Roy Basunia",False
"A Machine Learning Application Based on Giorgio Morandi Still-Life Paintings to Assist Artists in the Choice of 3D Compositions","Frederic Fol Leymarie",False
"A Machine Learning Application Based on Giorgio Morandi Still-Life Paintings to Assist Artists in the Choice of 3D Compositions","William Latham",False
"A Machine Learning Application Based on Giorgio Morandi Still-Life Paintings to Assist Artists in the Choice of 3D Compositions","Guido Salimbeni",True
"A Mani-Pedi-Anti-Counter-FESTO for Queer Screen Production Practice","Patrick Kelly",False
"A Mani-Pedi-Anti-Counter-FESTO for Queer Screen Production Practice","Angie Black",True
