"university_name","total_score"
"Universiti Malaya","110.0000000000000000"
"Universidad Nacional de Colombia","110.0000000000000000"
"Tel Aviv University","110.0000000000000000"
"New York University Shanghai","110.0000000000000000"
"Universitat of Girona","110.0000000000000000"
"University of Massachusetts Amherst","110.0000000000000000"
"Universidade Europeia","110.0000000000000000"
"College of Engineering, Pune","110.0000000000000000"
"Bar Ilan University","110.0000000000000000"
"Johannes Kepler University","110.0000000000000000"
"Jerusalem College of Technology","110.0000000000000000"
"University of Arizona","110.0000000000000000"
"Chung-Ang University","110.0000000000000000"
"University of Madeira","109.23872403211011570"
"Bulgarian Academy of Sciences","108.8953659438765205"
"Cardiff Metropolitan University","108.8685386789353642"
"Maynooth University","108.4535123214271285"
"University of Twente","108.4535123214271285"
"Aberystwyth University","107.4436201605505783"
"University of California","107.1530639416783459"
"Universidad Carlos III de Madrid","106.6860978316295611"
"University of Canterbury","105.9860394574093812"
"Universiti Malaysia Sarawak","105.9860394574093812"
"Tallinn University","104.9898865011450393"
"Kyoto University","104.4444444444444444"
"Beijing University of Posts and Telecommunications","103.0555555555555556"
"University of Guelph","100.3286798191364604"
"Friedrich-Alexander-Universität Erlangen-Nürnberg","100.06980507652834490"
"RWTH Aachen University","98.6275687735186695"
"University of Oulu","98.3216995478411510"
"Dalian University of Technology","97.9548961284404626"
"University EDUCONS","97.9548961284404626"
"Afyon Kocatepe University","97.9548961284404626"
"Lynn University","97.9548961284404626"
"University of Strathclyde","97.9548961284404626"
"Walailak University","97.9548961284404626"
"Qingdao Huanghai College","97.9548961284404626"
"University of Oslo","97.9548961284404626"
"National Taipei University of Technology","97.5000000000000000"
"Brunel University London","96.9070246428542570"
"University of Salzburg","96.9070246428542570"
"Universidad Veracruzana","96.9070246428542570"
"Royal Academy of Fine Arts Antwerp","96.9070246428542570"
"University of the West of Scotland","96.9070246428542570"
"University of Bergen","96.9070246428542570"
"National Institute of Technology","96.9070246428542570"
"University of Leicester","96.9070246428542570"
"University of Eastern Finland","96.9070246428542570"
"Korea National University of Cultural Heritage","96.9070246428542570"
"Frankfurt University of Music and Performing Arts","96.9070246428542570"
"Roanoke College","96.9070246428542570"
"Yale University","96.9070246428542570"
"Anna University","96.9070246428542570"
"University of Missouri, Kansas City","96.9070246428542570"
"Chandigarh University","96.9070246428542570"
"Kyoto Institute of Technology","96.9070246428542570"
"California Institute of Technology","96.9070246428542570"
"Poznan University of Technology","96.9070246428542570"
"Tarbiat Modares University","96.9070246428542570"
"Indian Institute of Technology Roorkee","96.9070246428542570"
"Tokyo Metropolitan University","96.9070246428542570"
"Ramakrishna Mission Vidyamandira","96.9070246428542570"
"University of Groningen","96.9070246428542570"
"Universidad Finis Terrae","96.9070246428542570"
"University of Tennessee at Chattanooga","96.9070246428542570"
"AGH University of Science and Technology","96.9070246428542570"
"University of Southern Denmark","96.9070246428542570"
"University of Milan-Bicocca","96.9070246428542570"
"University at Buffalo","95.1888232268209363"
"University of Fortaleza","95.0000000000000000"
"The Open University","94.3061278833566917"
"Sorbonne Nouvelle University","93.3333333333333334"
"Colby College","93.3333333333333333"
"Stockholm University","91.9070246428542570"
"Luleå University of Technology","91.1111111111111111"
"University of Macerata","90.6573596382729208"
"LMU Munich","90.6573596382729208"
"Stockholm University of the Arts","90.00000000000000000000"
"Sangji University","90.0000000000000000"
"University of Applied Arts Vienna","90.0000000000000000"
"Bauhaus University Weimar","90.0000000000000000"
"Dalhousie University","88.2045360769760169"
"Universidad de Alicante","86.2113751626007050"
"The University of Jordan","85.0000000000000000"
"University of Granada","85.0000000000000000"
"Universidad de Las Palmas de Gran Canaria","85.0000000000000000"
"University of Huddersfield","85.0000000000000000"
"École de Technologie Supérieure","85.0000000000000000"
"Lund University","85.0000000000000000"
"Tokyo Institute of Technology","85.0000000000000000"
"The University of Hong Kong","85.0000000000000000"
"Yanshan University","85.0000000000000000"
"University of Patras","85.0000000000000000"
"Toronto Metropolitan University","85.0000000000000000"
"Akademie der bildenden Künste Wien","85.0000000000000000"
"University of Sunderland","82.3697839122737071"
"University of West Attica","82.2222222222222222"
"Kyiv University of Culture","80.6573596382729208"
"Sichuan Fine Arts Institute","80.0000000000000000"
"Université de Toulouse","79.63480770249315210"
"Edinburgh Napier University","78.9774480642202313"
"University of Bucharest","78.9774480642202313"
"College For Creative Studies","78.9774480642202313"
"Universidad Politécnica de Madrid","78.9774480642202313"
"Universitat Jaume I","78.9774480642202313"
"École Polytechnique d’Architecture et d’Urbanisme","78.9774480642202313"
"Hochschule Anhalt","78.9774480642202313"
"University of Saskatchewan","78.9774480642202313"
"Hunan University of Technology","78.9511014406865959"
"University of Algarve","78.4535123214271285"
"Duke University","78.4535123214271285"
"Shamoon College of Engineering","78.4535123214271285"
"University of Oregon","78.4535123214271285"
"Birkbeck, University of London","77.0229287737019162"
"Tokyo University of Technology","75.3286798191364604"
"Princeton University","75.3286798191364604"
"Washington University in St. Louis","75.3286798191364604"
"CrossLAB, University of Fortaleza","75.0000000000000000"
"University of London","74.48872403211011565"
"Baltic Film, Media and Arts School","74.0124384369248080"
"Baltic Film, Media and Arts School, Tallinn University","74.0124384369248080"
"University of Birmingham","73.8140492857085140"
"Dartmouth College","72.8758562578395565"
"Ecole Polytechnique d'Architecture et d'Urbanisme","72.8758562578395565"
"Eindhoven University of Technology","72.8758562578395565"
"San Diego State University","72.5000000000000000"
"UCA Farnham and University of Brighton","71.9615140360811072"
"University of Wisconsin, Madison","71.9615140360811072"
"University of Florida","71.1111111111111111"
"University of Virginia","69.7790731887753041"
"Friedrich Alexander University","69.7790731887753041"
"Xiamen University","69.4887240321101157"
"University of Bern","69.48872403211011565"
"University of Turku","67.9548961284404626"
"L’École Polytechnique","67.66433990956823020"
"University for Continuing Education Krems","67.5000000000000000"
"Towson University","67.2302624316777503"
"London South Bank University","67.1093517368211214"
"Pontifical Catholic University of Minas Gerais","66.9070246428542570"
"University for the Creative Arts","66.9070246428542570"
"Ontario Tech University","66.2157306826174782"
"Texas State University","65.5555555555555556"
"Imperial College London","65.5555555555555556"
"Ewha Womans University","65.3286798191364604"
"University of The Bahamas","65.0000000000000000"
"Universitat Pompeu Fabra","62.8616999045776328"
"INRS","61.9070246428542570"
"Polytechnic Institute of Porto","61.9070246428542570"
"Catholic University of Temuco","60.0000000000000000"
"Maine College of Art","60.0000000000000000"
"Yildiz Technical University","60.0000000000000000"
"University of Latvia","60.0000000000000000"
"University of Tokyo, Graduate School of Engineering","60.0000000000000000"
"Academy of Fine Arts, Leipzig","60.0000000000000000"
"Brock University","60.0000000000000000"
"University of Wisconsin–Milwaukee","60.0000000000000000"
"Jacobs University","60.0000000000000000"
"Panthéon-Assas University Paris II","60.0000000000000000"
"Université de Lorraine","60.0000000000000000"
"Panjab University","60.0000000000000000"
"Polish Academy of Sciences","60.0000000000000000"
"University of Ottawa","60.0000000000000000"
"Leuphana University","60.0000000000000000"
"Lisbon Polytechnic Institute","60.0000000000000000"
"Fu Jen Catholic University","60.0000000000000000"
"Jagiellonian University in Kraków","60.0000000000000000"
"University of San Francisco","60.0000000000000000"
"East Carolina University","60.0000000000000000"
"Rice University","60.0000000000000000"
"Escola Superior de Media Artes e Design","60.0000000000000000"
"University of Athens","60.0000000000000000"
"Universidad Autónoma de Madrid","60.0000000000000000"
"School of Planning and Architecture, Bhopal","60.0000000000000000"
"Swarthmore College","60.0000000000000000"
"Leeds Beckett University","60.0000000000000000"
"National Academy of Arts","60.0000000000000000"
"Montclair State University","60.00000000000000000000"
"Abertay University","60.0000000000000000"
