"author_name","university_name"
"Andrea Gogova","ArtSci and Technology, Envi_Art Lab"
"Emine Eren Tarakci","Artvin Çoruh University"
"Sandra de Berduccy","Aruma"
"Eslam Nofal","Assiut University"
"Julien Ottavi","Association APO33"
"Jenny Pickett","Association APO33"
"Ioannis Bardakos","Athens School of Fine Arts"
"Nina Zvezdin","ATIproject"
"Susan Jowsey","Auckland University of Technology"
"Jason Kennedy","Auckland University of Technology"
"Yutzu Chao","Audio Description Development Association"
"Sophie Rose","Australian Institute of Music"
"Lucas Pawlik","Austrian Party for Human Freedom and Civil Rights"
"Merten Stroetzel","Autodesk"
"Fraser Anderson","Autodesk Research"
"Bon Adriel Aseniero","Autodesk Research"
"Jieliang Luo","Autodesk Research"
"Jieliang (Rodger) Luo","Autodesk Research"
"George Fitzmaurice","Autodesk Research"
"Frederik Brudy","Autodesk Research"
"Tovi Grossman","Autodesk Research"
"George W Fitzmaurice","Autodesk Research"
"Justin Matejka","Autodesk Research"
"Minke Nouwens","AVANS University of Applied Sciences"
"Michel van Dartel","AVANS University of Applied Sciences"
"Noud Heerkens","AVANS University of Applied Sciences"
"Duncan MacConnell","Avid"
"Mateescu Suciu Liliana","Babeș-Bolyai University of Cluj-Napoca"
"Devon Ward","Ball State University"
"Né Barros","Balleteatro"
"Mar Canet Sola","Baltic Film, Media and Arts School"
"Mar Canet Sola","Baltic Film, Media and Arts School, Tallinn University"
"Astha Singh","Banaras Hindu University"
"Avshalom Elmalech","Bar Ilan University"
"Omri Suissa","Bar Ilan University"
"Maayan Zhitomirsky-Geffet","Bar Ilan University"
"Miriam Felton-Dansky","Bard College"
"Nina Tecklenburg","Bard College Berlin"
"Mark Santolucito","Barnard College"
"João Tragtenberg","Batebit Artesania Digital"
"Paloma González Díaz","BAU, Centro Universitario de Artes y Diseño de Barcelona"
"Adelheid Mers","Bauhaus University Weimar"
"Dulmini Perera","Bauhaus University Weimar"
"Xukun Shen","Beihang University"
"Chong Cao","Beihang University"
"Lingfei Yang","Beihang University"
"Siyu Luo","Beihang University"
"Shuo Yan","Beihang University"
"Wenli Jiang","Beihang University"
"Zhenliang Zhang","Beijing Institute for General Artificial Intelligence"
"Meng Wang","Beijing Institute for General Artificial Intelligence"
"Qixuan Liang","Beijing Institute for General Artificial Intelligence"
"Zhe Sun","Beijing Institute for General Artificial Intelligence"
"Yiwen Zhao","Beijing Normal University"
"Yachun Fan","Beijing Normal University"
"Qing Chai","Beijing Sankuai Online Technology Co., Ltd"
"Bing Bai","Beijing University of Posts and Telecommunications"
"Chenyang Cai","Beijing University of Posts and Telecommunications"
"Wenjun Hou","Beijing University of Posts and Telecommunications"
"Chenyang Cai","Beijing University of Technology"
"Kaixi Chen","Beijing Yuguo Culture and Technology Ltd. Inc."
"Harpreet Sareen","Berggruen Institute"
"Akito van Troyer","Berklee College of Music"
"Marek Poliks","Berklee College of Music"
"Andreas Sonderegger","Bern University of Applied Sciences"
"Celestina Widmer","Bern University of the Arts"
"Yvonne Schmidt","Bern University of the Arts"
"Nina Mühlemann","Bern University of the Arts"
"Ofri Dar","Bezalel Academy of Arts and Design"
"Roy Amit","Bezalel Academy of Arts and Design"
"Liat Lavi","Bezalel Academy of Arts and Design"
"Sharon Israel","Bezalel Academy of Arts and Design"
"Alessandro Adamou","Bibliotheca Hertziana - Max Planck Institute for Art History"
"Amy S. Robbins","Binghamton University"
"Peter T. Wood","Birkbeck, University of London"
"George Roussos","Birkbeck, University of London"
"Seda Ilter","Birkbeck, University of London"
"Valeri Katerinchuk","Birkbeck, University of London"
"Alexandra Poulovassilis","Birkbeck, University of London"
"Niccolo Granieri","Birmingham City University"
"Catherine Baker","Birmingham City University"
"Lisa Deml","Birmingham City University"
"Joe Wright","Birmingham City University"
"Islah Ali-MacLachlan","Birmingham City University"
"William Wilson","Birmingham City University"
"Mark Graus","BISS Institute"
"Yann Blanchi","BMOffice France"
"Wei Wu","BNU-HKBU United International College"
"Violet Wei Wu","BNU-HKBU United International College"
"Pinar Yanardag","Bogazici University"
"Alara Dirik","Bogazici University"
"Meliksah Turker","Bogazici University"
"Boris Kourtoukov","boris.kourtoukov.com"
"Trevor Hearing","Bournemouth University"
"Paula Callus","Bournemouth University"
"Darrell Gibson","Bournemouth University"
"Vedad Hulusić","Bournemouth University"
"Tom Davis","Bournemouth University"
"Christopher Ferraris","Bournemouth University"
"Oliver Gingrich","Bournemouth University"
"Michael Smith","Bournemouth University"
"Liam Birtles","Bournemouth University"
"Charlie Hargood","Bournemouth University"
"David Garcia","Bournemouth University"
"Christos Gatzidis","Bournemouth University"
"Bonnie Mitchell","Bowling Green State University"
"Yamin Xu","Bowling Green State University"
"Anna Dumitriu","Brighton and Sussex Medical School"
"Laida Limniati","BrilliantPR Digital Agency"
"Louise Sime","British Antarctic Survey"
"Donna Szoke","Brock University"
"Rachel Garber Cole","Brooklyn"
"George Fitzmaurice","Brown University"
"Brandon Woodard","Brown University"
"Pinyuan Feng","Brown University"
"Dominik Havsteen-Franklin","Brunel University"
"Johannes Birringer","Brunel University"
"Marios Samdanis","Brunel University London"
"Costas I. Karageorghis","Brunel University London"
"Maxim Goynov","Bulgarian Academy of Sciences"
"Radoslav Pavlov","Bulgarian Academy of Sciences"
"Desislava Paneva-Marinova","Bulgarian Academy of Sciences"
"Lilia Pavlova","Bulgarian Academy of Sciences"
"Emanuela Mitreva","Bulgarian Academy of Sciences"
"Detelin Luchev","Bulgarian Academy of Sciences"
"Yanislav Zhelev","Burgas Free University"
"Mariya Monova-Zheleva","Burgas Free University"
"Adem Doğangün","Bursa Uludağ University"
"Hala Gabr","Cairotronica"
"Haytham Nawar","Cairotronica"
"Lateef McLeod","California Institute for Integral Studies"
"Tracie Costantino","California Institute for the Arts"
"Michael Munton","California Institute of Integral Studies"
"Morteza Gharib","California Institute of Technology"
"Adolfo Carvalho","California Institute of Technology"
"Weidi Zhang","California Institute of the Arts"
"Andrew Piepenbrink","California Institute of the Arts"
"Ajay Kapur","California Institute of the Arts"
"Sara Sithi-Amnuai","California Institute of the Arts"
"Odie DeSmith","California Institute of the Arts"
"Lucy HG Solomon","California State University San Marcos"
"Behnaz Farahi","California State University, Long Beach"
"Robert Pepperell","Cardiff Metropolitan University"
"Sanjay Sahota","Cardiff Metropolitan University"
"Sojung Bahng","Carleton University"
"Victoria McArthur","Carleton University"
"Lee Jones","Carleton University"
"Jason Wu","Carnegie Mellon University"
"Patrick Carrington","Carnegie Mellon University"
"Noor Hammad","Carnegie Mellon University"
"Tucker Rae-Grant","Carnegie Mellon University"
"Vivian Shen","Carnegie Mellon University"
"Cristóbal Valenzuela","Carnegie Mellon University"
"Kylon Chiang","Carnegie Mellon University"
"Melisa Orta Martinez","Carnegie Mellon University"
"James Mccann","Carnegie Mellon University"
"Carolyn Rosé","Carnegie Mellon University"
"Ana Garcia-Alonzo","Carnegie Mellon University"
"Samantha Speer","Carnegie Mellon University"
"Yanwen Dong","Carnegie Mellon University"
"Yiwei Huang","Carnegie Mellon University"
"Lea Albaugh","Carnegie Mellon University"
"Dominik Moritz","Carnegie Mellon University"
"Lining Yao","Carnegie Mellon University"
"Dina El-Zanfaly","Carnegie Mellon University"
"Yi-Hao Peng","Carnegie Mellon University"
"Jesse Gonzalez","Carnegie Mellon University"
"Sonia Prashant","Carnegie Mellon University"
"Daehwa Kim","Carnegie Mellon University"
"Sapna Tayal","Carnegie Mellon University"
"Juhi Kedia","Carnegie Mellon University"
"Alexandra Ion","Carnegie Mellon University"
"Daniel Cardoso Llach","Carnegie Mellon University"
"Nathan DeVrio","Carnegie Mellon University"
"Vimal Mollyn","Carnegie Mellon University"
"David Chuan-En Lin","Carnegie Mellon University"
"Anastasis Germanidis","Carnegie Mellon University"
"Yi-Chin Lee","Carnegie Mellon University"
"Scott Hudson","Carnegie Mellon University"
"Yu Jiang","Carnegie Mellon University"
"Rachel Arredondo","Carnegie Mellon University"
"Ruohong Gan","Carnegie Mellon University"
"Craig Shultz","Carnegie Mellon University"
"Chris Harrison","Carnegie Mellon University"
"Joe Mullenbach","Carnegie Mellon University"
"Yining Shi","Carnegie Mellon University"
"Franklin Mingzhe Li","Carnegie Mellon University"
"Nikolas Martelaro","Carnegie Mellon University"
"Jinmo Rhee","Carnegie Mellon University"
"Michael Hasey","Carnegie Mellon University"
"Sung-A Jang","Carnegie Mellon University"
"Jacqui Fashimpaur","Carnegie Mellon University"
