"university_name","author_name","total_score"
"Arts & Métiers Sciences et Technologies","Sylvain Fleury","18.9774480642202313"
"Artsadmin","Anna Ledgard","60.0000000000000000"
"ArtSci and Technology, Envi_Art Lab","Andrea Gogova","30.0000000000000000"
"Artvin Çoruh University","Emine Eren Tarakci","18.9774480642202313"
"Aruma","Sandra de Berduccy","36.9070246428542570"
"Assiut University","Eslam Nofal","15.3286798191364604"
"Association APO33","Julien Ottavi","30.0000000000000000"
"Association APO33","Jenny Pickett","18.4535123214271285"
"Athens School of Fine Arts","Ioannis Bardakos","20.0000000000000000"
"ATIproject","Nina Zvezdin","18.9774480642202313"
"Auckland University of Technology","Jason Kennedy","120.0000000000000000"
"Auckland University of Technology","Susan Jowsey","18.9774480642202313"
"Audio Description Development Association","Yutzu Chao","9.7790731887753041"
"Austrian Party for Human Freedom and Civil Rights","Lucas Pawlik","60.0000000000000000"
"Autodesk","Merten Stroetzel","15.3286798191364604"
"Autodesk Research","Jieliang Luo","36.9070246428542570"
"Autodesk Research","Fraser Anderson","34.3061278833566917"
"Autodesk Research","Tovi Grossman","32.2511188501924602"
"Autodesk Research","Bon Adriel Aseniero","30.0000000000000000"
"Autodesk Research","Jieliang (Rodger) Luo","25.0000000000000000"
"Autodesk Research","Frederik Brudy","18.9774480642202313"
"Autodesk Research","Justin Matejka","18.9774480642202313"
"Autodesk Research","George W Fitzmaurice","15.3286798191364604"
"Autodesk Research","George Fitzmaurice","9.4887240321101156"
"AVANS University of Applied Sciences","Michel van Dartel","85.0000000000000000"
"AVANS University of Applied Sciences","Minke Nouwens","60.0000000000000000"
"AVANS University of Applied Sciences","Noud Heerkens","25.0000000000000000"
"Babeș-Bolyai University of Cluj-Napoca","Mateescu Suciu Liliana","15.3286798191364604"
"Ball State University","Devon Ward","60.0000000000000000"
"Balleteatro","Né Barros","25.0000000000000000"
"Baltic Film, Media and Arts School","Mar Canet Sola","74.0124384369248080"
"Baltic Film, Media and Arts School, Tallinn University","Mar Canet Sola","74.0124384369248080"
"Banaras Hindu University","Astha Singh","60.0000000000000000"
"Bar Ilan University","Omri Suissa","60.0000000000000000"
"Bar Ilan University","Maayan Zhitomirsky-Geffet","25.0000000000000000"
"Bar Ilan University","Avshalom Elmalech","25.0000000000000000"
"Bard College","Miriam Felton-Dansky","60.0000000000000000"
"Bard College Berlin","Nina Tecklenburg","34.3061278833566917"
"BAU, Centro Universitario de Artes y Diseño de Barcelona","Paloma González Díaz","30.0000000000000000"
"Bauhaus University Weimar","Dulmini Perera","60.0000000000000000"
"Bauhaus University Weimar","Adelheid Mers","30.0000000000000000"
"Beihang University","Chong Cao","96.9070246428542570"
"Beihang University","Wenli Jiang","60.0000000000000000"
"Beihang University","Siyu Luo","60.0000000000000000"
"Beihang University","Xukun Shen","25.0000000000000000"
"Beihang University","Lingfei Yang","25.0000000000000000"
"Beihang University","Shuo Yan","18.4535123214271285"
"Beijing Institute for General Artificial Intelligence","Zhe Sun","60.0000000000000000"
"Beijing Institute for General Artificial Intelligence","Meng Wang","18.9774480642202313"
"Beijing Institute for General Artificial Intelligence","Qixuan Liang","18.9774480642202313"
"Beijing Institute for General Artificial Intelligence","Zhenliang Zhang","18.9774480642202313"
"Beijing Normal University","Yachun Fan","11.1111111111111111"
"Beijing Normal University","Yiwen Zhao","11.1111111111111111"
"Beijing Sankuai Online Technology Co., Ltd","Qing Chai","18.9774480642202313"
"Beijing University of Posts and Telecommunications","Wenjun Hou","60.0000000000000000"
"Beijing University of Posts and Telecommunications","Bing Bai","25.0000000000000000"
"Beijing University of Posts and Telecommunications","Chenyang Cai","18.0555555555555556"
"Beijing University of Technology","Chenyang Cai","18.0555555555555556"
"Beijing Yuguo Culture and Technology Ltd. Inc.","Kaixi Chen","19.5581463775506082"
"Berggruen Institute","Harpreet Sareen","90.0000000000000000"
"Berklee College of Music","Marek Poliks","18.4535123214271285"
"Bern University of Applied Sciences","Andreas Sonderegger","11.1111111111111111"
"Bern University of the Arts","Nina Mühlemann","60.0000000000000000"
"Bern University of the Arts","Celestina Widmer","25.0000000000000000"
"Bern University of the Arts","Yvonne Schmidt","25.0000000000000000"
"Bezalel Academy of Arts and Design","Liat Lavi","60.0000000000000000"
"Bezalel Academy of Arts and Design","Sharon Israel","25.0000000000000000"
"Bezalel Academy of Arts and Design","Roy Amit","25.0000000000000000"
"Bezalel Academy of Arts and Design","Ofri Dar","15.3286798191364604"
"Bibliotheca Hertziana - Max Planck Institute for Art History","Alessandro Adamou","39.4887240321101157"
"Binghamton University","Amy S. Robbins","0.00000000000000000000"
"Birkbeck, University of London","Peter T. Wood","18.9774480642202313"
"Birkbeck, University of London","Alexandra Poulovassilis","18.9774480642202313"
"Birkbeck, University of London","Valeri Katerinchuk","18.9774480642202313"
"Birkbeck, University of London","Seda Ilter","15.3286798191364604"
"Birkbeck, University of London","George Roussos","4.7619047619047619"
"Birmingham City University","Lisa Deml","60.0000000000000000"
"Birmingham City University","Catherine Baker","60.0000000000000000"
"BISS Institute","Mark Graus","6.4379281289197783"
"BMOffice France","Yann Blanchi","30.0000000000000000"
"BNU-HKBU United International College","Wei Wu","15.3286798191364604"
"BNU-HKBU United International College","Violet Wei Wu","15.3286798191364604"
"Bogazici University","Pinar Yanardag","85.0000000000000000"
"Bogazici University","Meliksah Turker","60.0000000000000000"
"Bogazici University","Alara Dirik","25.0000000000000000"
"boris.kourtoukov.com","Boris Kourtoukov","25.0000000000000000"
"Bournemouth University","Tom Davis","115.8844727070744883"
"Bournemouth University","Vedad Hulusić","60.0000000000000000"
"Bournemouth University","Christopher Ferraris","60.0000000000000000"
"Bournemouth University","David Garcia","60.0000000000000000"
"Bournemouth University","Oliver Gingrich","60.0000000000000000"
"Bournemouth University","Trevor Hearing","60.0000000000000000"
"Bournemouth University","Paula Callus","36.9070246428542570"
"Bournemouth University","Liam Birtles","25.0000000000000000"
"Bournemouth University","Charlie Hargood","18.9774480642202313"
"Bournemouth University","Christos Gatzidis","18.9774480642202313"
"Bournemouth University","Michael Smith","18.9774480642202313"
"Bowling Green State University","Yamin Xu","60.0000000000000000"
"Bowling Green State University","Bonnie Mitchell","60.0000000000000000"
"Brighton and Sussex Medical School","Anna Dumitriu","52.3023415476180857"
"BrilliantPR Digital Agency","Laida Limniati","60.0000000000000000"
"British Antarctic Survey","Louise Sime","4.7619047619047619"
"Brock University","Donna Szoke","60.0000000000000000"
"Brooklyn","Rachel Garber Cole","25.0000000000000000"
"Brown University","Pinyuan Feng","18.9774480642202313"
"Brown University","Brandon Woodard","15.3286798191364604"
"Brown University","George Fitzmaurice","9.4887240321101156"
"Brunel University","Johannes Birringer","120.0000000000000000"
"Brunel University","Dominik Havsteen-Franklin","15.3286798191364604"
"Brunel University London","Marios Samdanis","60.0000000000000000"
"Brunel University London","Costas I. Karageorghis","36.9070246428542570"
"Bulgarian Academy of Sciences","Lilia Pavlova","60.0000000000000000"
"Bulgarian Academy of Sciences","Emanuela Mitreva","9.7790731887753041"
"Bulgarian Academy of Sciences","Desislava Paneva-Marinova","9.7790731887753041"
"Bulgarian Academy of Sciences","Detelin Luchev","9.7790731887753041"
"Bulgarian Academy of Sciences","Maxim Goynov","9.7790731887753041"
"Bulgarian Academy of Sciences","Radoslav Pavlov","9.7790731887753041"
"Burgas Free University","Mariya Monova-Zheleva","9.7790731887753041"
"Burgas Free University","Yanislav Zhelev","9.7790731887753041"
"Bursa Uludağ University","Adem Doğangün","36.9070246428542570"
"Cairotronica","Hala Gabr","60.0000000000000000"
"Cairotronica","Haytham Nawar","36.9070246428542570"
"California Institute for the Arts","Tracie Costantino","36.9070246428542570"
"California Institute of Integral Studies","Michael Munton","60.0000000000000000"
"California Institute of Technology","Morteza Gharib","60.0000000000000000"
"California Institute of Technology","Adolfo Carvalho","36.9070246428542570"
"California Institute of the Arts","Weidi Zhang","120.0000000000000000"
"California State University San Marcos","Lucy HG Solomon","60.0000000000000000"
"California State University, Long Beach","Behnaz Farahi","60.0000000000000000"
"Cardiff Metropolitan University","Sanjay Sahota","71.9615140360811072"
"Cardiff Metropolitan University","Robert Pepperell","36.9070246428542570"
"Carleton University","Sojung Bahng","97.4119014873302392"
"Carleton University","Lee Jones","60.0000000000000000"
"Carleton University","Victoria McArthur","36.9070246428542570"
"Carnegie Mellon University","Daniel Cardoso Llach","86.9070246428542570"
"Carnegie Mellon University","Chris Harrison","77.2357044619907174"
"Carnegie Mellon University","Eunsu Kang","61.8628236267902241"
"Carnegie Mellon University","Vivian Shen","60.0000000000000000"
"Carnegie Mellon University","Violet Yinuo Han","60.0000000000000000"
"Carnegie Mellon University","Hyeonsu Kang","60.0000000000000000"
"Carnegie Mellon University","Yi-Chin Lee","60.0000000000000000"
"Carnegie Mellon University","Vít Růžička","60.0000000000000000"
"Carnegie Mellon University","Cathryn Ploehn","60.0000000000000000"
"Carnegie Mellon University","Jesse Gonzalez","60.0000000000000000"
"Carnegie Mellon University","Sung-A Jang","60.0000000000000000"
"Carnegie Mellon University","Songwei Ge","60.0000000000000000"
"Carnegie Mellon University","Samantha Speer","60.0000000000000000"
"Carnegie Mellon University","Rachel Arredondo","60.0000000000000000"
"Carnegie Mellon University","Ardavan Bidgoli","60.0000000000000000"
"Carnegie Mellon University","David Chuan-En Lin","60.0000000000000000"
"Carnegie Mellon University","Dina El-Zanfaly","60.0000000000000000"
"Carnegie Mellon University","Qiuyu Lu","60.0000000000000000"
"Carnegie Mellon University","Noor Hammad","60.0000000000000000"
"Carnegie Mellon University","Nathan DeVrio","60.0000000000000000"
"Carnegie Mellon University","Franklin Mingzhe Li","60.0000000000000000"
"Carnegie Mellon University","Michael Hasey","60.0000000000000000"
"Carnegie Mellon University","Daehwa Kim","60.0000000000000000"
"Carnegie Mellon University","Yu Jiang","60.0000000000000000"
"Carnegie Mellon University","Lingdong Huang","48.4535123214271285"
"Carnegie Mellon University","Alexandra Ion","43.5332158961124773"
"Carnegie Mellon University","Jason Wu","34.3685625271001175"
"Carnegie Mellon University","David Lindlbauer","30.6573596382729208"
"Carnegie Mellon University","Lining Yao","28.2045360769760169"
"Carnegie Mellon University","Scott Hudson","28.2045360769760169"
"Carnegie Mellon University","Erik Harpstead","25.0000000000000000"
"Carnegie Mellon University","Jessica Hammer","25.0000000000000000"
"Carnegie Mellon University","Jinmo Rhee","25.0000000000000000"
"Carnegie Mellon University","Dominik Moritz","25.0000000000000000"
"Carnegie Mellon University","Daragh Byrne","25.0000000000000000"
"Carnegie Mellon University","Molly Steenson","25.0000000000000000"
"Carnegie Mellon University","Yiwei Huang","25.0000000000000000"
"Carnegie Mellon University","Vimal Mollyn","25.0000000000000000"
"Carnegie Mellon University","Yanwen Dong","25.0000000000000000"
